image_path,skin_types
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D07.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D04.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D01.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D06.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co1\IS_I_C01_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D04.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co2\IS_I_C02_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D06.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D12.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D01.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D03.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D02.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D07.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co3\IS_I_C03_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D06.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D04.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D09.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D10.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D13.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D11.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D08.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D12.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co4\IS_I_C04_D14.jpg,"[""medium""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D01.jpg,uncertain
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS1\co5\IS_I_C05_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS2\co1\IS_II_C01_D08.jpg,"[""light""]"
