dataset,metric,level,count
spaq,quantity_level,low,1923
spaq,clutter_level,low,3818
spaq,quantity_level,medium,6392
spaq,clutter_level,medium,3056
spaq,quantity_level,high,2810
spaq,clutter_level,high,4251
spaq,quantity_clutter,low_low,1794
spaq,quantity_clutter,low_medium,83
spaq,quantity_clutter,low_high,46
spaq,quantity_clutter,medium_low,2017
spaq,quantity_clutter,medium_medium,2393
spaq,quantity_clutter,medium_high,1982
spaq,quantity_clutter,high_low,7
spaq,quantity_clutter,high_medium,580
spaq,quantity_clutter,high_high,2223
koniq10k,quantity_level,low,4257
koniq10k,clutter_level,low,5068
koniq10k,quantity_level,medium,4126
koniq10k,clutter_level,medium,2332
koniq10k,quantity_level,high,1990
koniq10k,clutter_level,high,2973
koniq10k,quantity_clutter,low_low,3967
koniq10k,quantity_clutter,low_medium,250
koniq10k,quantity_clutter,low_high,40
koniq10k,quantity_clutter,medium_low,1083
koniq10k,quantity_clutter,medium_medium,1817
koniq10k,quantity_clutter,medium_high,1226
koniq10k,quantity_clutter,high_low,18
koniq10k,quantity_clutter,high_medium,265
koniq10k,quantity_clutter,high_high,1707
live,quantity_level,low,204
live,clutter_level,low,363
live,quantity_level,medium,617
live,clutter_level,medium,354
live,quantity_level,high,341
live,clutter_level,high,445
live,quantity_clutter,low_low,192
live,quantity_clutter,low_medium,10
live,quantity_clutter,low_high,2
live,quantity_clutter,medium_low,170
live,quantity_clutter,medium_medium,275
live,quantity_clutter,medium_high,172
live,quantity_clutter,high_low,1
live,quantity_clutter,high_medium,69
live,quantity_clutter,high_high,271
cid2013,quantity_level,low,71
cid2013,clutter_level,low,195
cid2013,quantity_level,medium,301
cid2013,clutter_level,medium,201
cid2013,quantity_level,high,101
cid2013,clutter_level,high,77
cid2013,quantity_clutter,low_low,71
cid2013,quantity_clutter,low_medium,0
cid2013,quantity_clutter,low_high,0
cid2013,quantity_clutter,medium_low,124
cid2013,quantity_clutter,medium_medium,166
cid2013,quantity_clutter,medium_high,11
cid2013,quantity_clutter,high_low,0
cid2013,quantity_clutter,high_medium,35
cid2013,quantity_clutter,high_high,66
