semantic_feature,PC1_loading,PC2_loading,PC1_abs,PC2_abs
lighting_type=daylight,0.42453054817329544,0.14530909253303956,0.42453054817329544,0.14530909253303956
lighting_type=artificial,-0.41385756313632516,-0.15554199884348255,0.41385756313632516,0.15554199884348255
scene_type=indoor,-0.35589953996102025,-0.11976175003860537,0.35589953996102025,0.11976175003860537
memory_color=none,-0.2786470963266635,0.2370419087175116,0.2786470963266635,0.2370419087175116
scene_type=natural_landscape,0.26583718738196416,0.15304289474863028,0.26583718738196416,0.15304289474863028
memory_color=grass_foliage_green,0.2637387526564657,0.11603597935569113,0.2637387526564657,0.11603597935569113
memory_color=sky_blue,0.26032079576826167,-0.10350707726303048,0.26032079576826167,0.10350707726303048
camera_to_object_distance=close,-0.22262564624564635,0.506405778142293,0.22262564624564635,0.506405778142293
luminance_level=high,0.21725280968329247,-0.05709604475619438,0.21725280968329247,0.05709604475619438
luminance_level=low,-0.2154610895685272,-0.2639675089644689,0.2154610895685272,0.2639675089644689
camera_to_object_distance=medium,0.16144343444313042,-0.4955719675986568,0.16144343444313042,0.4955719675986568
memory_color=snow_cloud_white,0.13036105446795404,0.03728218500756992,0.13036105446795404,0.03728218500756992
memory_color=water_blue,0.11801023903953096,-0.09422591862617331,0.11801023903953096,0.09422591862617331
camera_to_object_distance=far,0.11792746336395946,-0.074158599037904,0.11792746336395946,0.074158599037904
scene_type=other,0.09345919524417629,0.04908043181101832,0.09345919524417629,0.04908043181101832
scene_type=urban,0.0879159074670659,-0.07103725819059867,0.0879159074670659,0.07103725819059867
memory_color=human_skin_tone,-0.06416425089917227,-0.392160577468796,0.06416425089917227,0.392160577468796
luminance_level=medium,-0.02880655772244575,0.27946234711600754,0.02880655772244575,0.27946234711600754
scene_type=portrait,-0.02619795246058125,-0.01920504751239927,0.02619795246058125,0.01920504751239927
lighting_type=mixed,-0.004452549106266971,-0.07811343625830847,0.004452549106266971,0.07811343625830847
