image_name,scene_type=natural_landscape,scene_type=urban,scene_type=indoor,scene_type=portrait,scene_type=other,lighting_type=daylight,lighting_type=artificial,lighting_type=mixed,luminance_level=high,luminance_level=medium,luminance_level=low,camera_to_object_distance=close,camera_to_object_distance=medium,camera_to_object_distance=far,memory_color=sky_blue,memory_color=grass_foliage_green,memory_color=human_skin_tone,memory_color=water_blue,memory_color=snow_cloud_white,memory_color=none
KonIQ-10k IQA Database/512x384/10009096245.jpg,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/100117038.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10007357496.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10014002683.jpg,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10007903636.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10004473376.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
KonIQ-10k IQA Database/512x384/10012398043.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10013822223.jpg,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10022757465.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10020766793.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10022844623.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10029841663.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10017119924.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10027582235.jpg,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
